case_id,Resultado análisis,Fecha registro,Tipo,Título,URL,Anexos,Fecha de publicación,Emisor,Norma,Fecha de divulgación,Tipo de Norma,Tema,Sector Económico,Incidencia SURA,Obligaciones SURA,Norma Importante,Control SOX,Divulgación SOX,Compañía Impactada,Obligaciones,Persona que analizó,Justificación de no divulgación SOX,detected_at,entidad,fuente_url,document_url,publication_date,status,priority,aplica_sura,link_status,link_error,notes
case_0000,,,,Documento 000 de prueba,https://gov.co/docs/normativa_000.pdf,,,DIAN,,,,,,pendiente,,,SÍ,,,,,,2026-05-21 13:59:57,DIAN,https://gov.co/source/7,https://gov.co/docs/normativa_000.pdf,,detectado,,,,,Mock: Revisión pendiente para DIAN
case_0001,,,,Documento 001 de prueba,https://gov.co/docs/normativa_001.pdf,,,Procuraduría,,,,,,pendiente,,,NO,,,,,,2026-05-13 13:59:57,Procuraduría,https://gov.co/source/5,https://gov.co/docs/normativa_001.pdf,,en_validacion,,,,,Mock: Revisión pendiente para Procuraduría
case_0002,,,,Documento 002 de prueba,https://gov.co/docs/normativa_002.pdf,,,Superintendencia de Sociedades,,,,,,pendiente,,,NO,,,,,,2026-05-27 13:59:57,Superintendencia de Sociedades,https://gov.co/source/10,https://gov.co/docs/normativa_002.pdf,,validado,,,,,Mock: Revisión pendiente para Superintendencia de Sociedades
case_0003,,,,Documento 003 de prueba,https://gov.co/docs/normativa_003.pdf,,,DIAN,,,,,,pendiente,,,SÍ,,,,,,2026-05-30 13:59:57,DIAN,https://gov.co/source/5,https://gov.co/docs/normativa_003.pdf,,consolidado,,,,,Mock: Revisión pendiente para DIAN
case_0004,,,,Documento 004 de prueba,https://gov.co/docs/normativa_004.pdf,,,DIAN,,,,,,pendiente,,,SÍ,,,,,,2026-05-20 13:59:57,DIAN,https://gov.co/source/3,https://gov.co/docs/normativa_004.pdf,,detectado,,,,,Mock: Revisión pendiente para DIAN
case_0005,,,,Documento 005 de prueba,https://gov.co/docs/normativa_005.pdf,,,Procuraduría,,,,,,pendiente,,,NO,,,,,,2026-05-25 13:59:57,Procuraduría,https://gov.co/source/10,https://gov.co/docs/normativa_005.pdf,,en_validacion,,,,,Mock: Revisión pendiente para Procuraduría
case_0006,,,,Documento 006 de prueba,https://gov.co/docs/normativa_006.pdf,,,Banco de la República,,,,,,pendiente,,,NO,,,,,,2026-05-21 13:59:57,Banco de la República,https://gov.co/source/1,https://gov.co/docs/normativa_006.pdf,,validado,,,,,Mock: Revisión pendiente para Banco de la República
case_0007,,,,Documento 007 de prueba,https://gov.co/docs/normativa_007.pdf,,,Superintendencia de Sociedades,,,,,,pendiente,,,NO,,,,,,2026-05-11 13:59:57,Superintendencia de Sociedades,https://gov.co/source/9,https://gov.co/docs/normativa_007.pdf,,consolidado,,,,,Mock: Revisión pendiente para Superintendencia de Sociedades
case_0008,,,,Documento 008 de prueba,https://gov.co/docs/normativa_008.pdf,,,Superintendencia de Sociedades,,,,,,pendiente,,,NO,,,,,,2026-05-29 13:59:57,Superintendencia de Sociedades,https://gov.co/source/4,https://gov.co/docs/normativa_008.pdf,,detectado,,,,,Mock: Revisión pendiente para Superintendencia de Sociedades
case_0009,,,,Documento 009 de prueba,https://gov.co/docs/normativa_009.pdf,,,Banco de la República,,,,,,pendiente,,,NO,,,,,,2026-05-02 13:59:57,Banco de la República,https://gov.co/source/1,https://gov.co/docs/normativa_009.pdf,,en_validacion,,,,,Mock: Revisión pendiente para Banco de la República
case_0010,,,,Documento 010 de prueba,https://gov.co/docs/normativa_010.pdf,,,Procuraduría,,,,,,pendiente,,,NO,,,,,,2026-05-11 13:59:57,Procuraduría,https://gov.co/source/7,https://gov.co/docs/normativa_010.pdf,,validado,,,,,Mock: Revisión pendiente para Procuraduría
case_0011,,,,Documento 011 de prueba,https://gov.co/docs/normativa_011.pdf,,,DIAN,,,,,,pendiente,,,SÍ,,,,,,2026-05-21 13:59:57,DIAN,https://gov.co/source/6,https://gov.co/docs/normativa_011.pdf,,consolidado,,,,,Mock: Revisión pendiente para DIAN
case_0012,,,,Documento 012 de prueba,https://gov.co/docs/normativa_012.pdf,,,Superintendencia Financiera,,,,,,pendiente,,,SÍ,,,,,,2026-05-31 13:59:57,Superintendencia Financiera,https://gov.co/source/2,https://gov.co/docs/normativa_012.pdf,,detectado,,,,,Mock: Revisión pendiente para Superintendencia Financiera
case_0013,,,,Documento 013 de prueba,https://gov.co/docs/normativa_013.pdf,,,Procuraduría,,,,,,pendiente,,,NO,,,,,,2026-05-01 13:59:57,Procuraduría,https://gov.co/source/10,https://gov.co/docs/normativa_013.pdf,,en_validacion,,,,,Mock: Revisión pendiente para Procuraduría
case_0014,,,,Documento 014 de prueba,https://gov.co/docs/normativa_014.pdf,,,Superintendencia de Sociedades,,,,,,pendiente,,,NO,,,,,,2026-05-29 13:59:57,Superintendencia de Sociedades,https://gov.co/source/5,https://gov.co/docs/normativa_014.pdf,,validado,,,,,Mock: Revisión pendiente para Superintendencia de Sociedades
case_0015,,,,Documento 015 de prueba,https://gov.co/docs/normativa_015.pdf,,,Banco de la República,,,,,,pendiente,,,NO,,,,,,2026-05-28 13:59:57,Banco de la República,https://gov.co/source/7,https://gov.co/docs/normativa_015.pdf,,consolidado,,,,,Mock: Revisión pendiente para Banco de la República
case_0016,,,,Documento 016 de prueba,https://gov.co/docs/normativa_016.pdf,,,Superintendencia de Sociedades,,,,,,pendiente,,,NO,,,,,,2026-05-15 13:59:57,Superintendencia de Sociedades,https://gov.co/source/2,https://gov.co/docs/normativa_016.pdf,,detectado,,,,,Mock: Revisión pendiente para Superintendencia de Sociedades
case_0017,,,,Documento 017 de prueba,https://gov.co/docs/normativa_017.pdf,,,DIAN,,,,,,pendiente,,,SÍ,,,,,,2026-05-04 13:59:57,DIAN,https://gov.co/source/5,https://gov.co/docs/normativa_017.pdf,,en_validacion,,,,,Mock: Revisión pendiente para DIAN
